iso8601_utc, UID, batch, measurement_number, decimal_hour, gain, integration_time_ms, wavelength_nm, irradiance_uw.per.cm.sq_factory_cal, irradiance.uncertainty_uw.per.cm.sq_factory_cal, raw_counts, detector_chip_number, detector_chip_temperature_C, battery_voltage, battery_percentage
20250806T031501Z, 3860, 0, 0, 3.25028, 16, 168, 410, 3.15647, 0.378776, 5, 3, 23, 4.02375, 81.4
20250806T031501Z, 3860, 0, 0, 3.25028, 16, 168, 435, 10.4417, 1.25301, 11, 3, 23, 4.02375, 81.4
20250806T031501Z, 3860, 0, 0, 3.25028, 16, 168, 460, 13.7489, 1.64987, 15, 3, 23, 4.02375, 81.4
20250806T031501Z, 3860, 0, 0, 3.25028, 16, 168, 485, 10.4685, 1.25621, 12, 3, 23, 4.02375, 81.4
20250806T031501Z, 3860, 0, 0, 3.25028, 16, 168, 510, 15.0365, 1.80438, 20, 3, 23, 4.02375, 81.4
20250806T031501Z, 3860, 0, 0, 3.25028, 16, 168, 535, 16.3198, 1.95837, 22, 3, 23, 4.02375, 81.4
20250806T031501Z, 3860, 0, 0, 3.25028, 16, 168, 560, 17.8135, 2.13762, 35, 2, 23, 4.02375, 81.4
20250806T031501Z, 3860, 0, 0, 3.25028, 16, 168, 585, 21.6247, 2.59496, 44, 2, 23, 4.02375, 81.4
20250806T031501Z, 3860, 0, 0, 3.25028, 16, 168, 610, 50.2476, 6.02971, 44, 1, 24, 4.02375, 81.4
20250806T031501Z, 3860, 0, 0, 3.25028, 16, 168, 645, 13.9208, 1.6705, 33, 2, 23, 4.02375, 81.4
20250806T031501Z, 3860, 0, 0, 3.25028, 16, 168, 680, 12.658, 1.51895, 12, 1, 24, 4.02375, 81.4
20250806T031501Z, 3860, 0, 0, 3.25028, 16, 168, 705, 2.80239, 0.336287, 7, 2, 23, 4.02375, 81.4
20250806T031501Z, 3860, 0, 0, 3.25028, 16, 168, 730, 4.04584, 0.4855, 5, 1, 24, 4.02375, 81.4
20250806T031501Z, 3860, 0, 0, 3.25028, 16, 168, 760, 2.52946, 0.303535, 3, 1, 24, 4.02375, 81.4
20250806T031501Z, 3860, 0, 0, 3.25028, 16, 168, 810, 3.57169, 0.428603, 4, 1, 24, 4.02375, 81.4
20250806T031501Z, 3860, 0, 0, 3.25028, 16, 168, 860, 5.72808, 0.687369, 5, 1, 24, 4.02375, 81.4
20250806T031501Z, 3860, 0, 0, 3.25028, 16, 168, 900, 1.23905, 0.148686, 2, 2, 23, 4.02375, 81.4
20250806T031501Z, 3860, 0, 0, 3.25028, 16, 168, 940, 0.904691, 0.108563, 1, 2, 23, 4.02375, 81.4
20250806T031502Z, 3860, 0, 1, 3.25056, 16, 168, 410, 3.15647, 0.378776, 4, 3, 23, 4.0275, 81.4
20250806T031502Z, 3860, 0, 1, 3.25056, 16, 168, 435, 9.49248, 1.1391, 11, 3, 23, 4.0275, 81.4
20250806T031502Z, 3860, 0, 1, 3.25056, 16, 168, 460, 12.8323, 1.53988, 15, 3, 23, 4.0275, 81.4
20250806T031502Z, 3860, 0, 1, 3.25056, 16, 168, 485, 9.59608, 1.15153, 11, 3, 23, 4.0275, 81.4
20250806T031502Z, 3860, 0, 1, 3.25056, 16, 168, 510, 10.5255, 1.26306, 20, 3, 23, 4.0275, 81.4
20250806T031502Z, 3860, 0, 1, 3.25056, 16, 168, 535, 14.9007, 1.78808, 22, 3, 23, 4.0275, 81.4
20250806T031502Z, 3860, 0, 1, 3.25056, 16, 168, 560, 17.8135, 2.13762, 35, 2, 23, 4.0275, 81.4
20250806T031502Z, 3860, 0, 1, 3.25056, 16, 168, 585, 21.6247, 2.59496, 44, 2, 23, 4.0275, 81.4
20250806T031502Z, 3860, 0, 1, 3.25056, 16, 168, 610, 50.2476, 6.02971, 44, 1, 24, 4.0275, 81.4
20250806T031502Z, 3860, 0, 1, 3.25056, 16, 168, 645, 13.5114, 1.62137, 34, 2, 23, 4.0275, 81.4
20250806T031502Z, 3860, 0, 1, 3.25056, 16, 168, 680, 12.658, 1.51895, 12, 1, 24, 4.0275, 81.4
20250806T031502Z, 3860, 0, 1, 3.25056, 16, 168, 705, 2.80239, 0.336287, 7, 2, 23, 4.0275, 81.4
20250806T031502Z, 3860, 0, 1, 3.25056, 16, 168, 730, 4.04584, 0.4855, 5, 1, 24, 4.0275, 81.4
20250806T031502Z, 3860, 0, 1, 3.25056, 16, 168, 760, 2.52946, 0.303535, 3, 1, 24, 4.0275, 81.4
20250806T031502Z, 3860, 0, 1, 3.25056, 16, 168, 810, 3.57169, 0.428603, 4, 1, 24, 4.0275, 81.4
20250806T031502Z, 3860, 0, 1, 3.25056, 16, 168, 860, 5.72808, 0.687369, 5, 1, 24, 4.0275, 81.4
20250806T031502Z, 3860, 0, 1, 3.25056, 16, 168, 900, 1.23905, 0.148686, 2, 2, 23, 4.0275, 81.4
20250806T031502Z, 3860, 0, 1, 3.25056, 16, 168, 940, 0.904691, 0.108563, 1, 2, 23, 4.0275, 81.4
20250806T031503Z, 3860, 0, 2, 3.25083, 16, 168, 410, 0.789117, 0.094694, 1, 3, 23, 4.02125, 81.4
20250806T031503Z, 3860, 0, 2, 3.25083, 16, 168, 435, 0.949248, 0.11391, 2, 3, 23, 4.02125, 81.4
20250806T031503Z, 3860, 0, 2, 3.25083, 16, 168, 460, 1.83319, 0.219982, 3, 3, 23, 4.02125, 81.4
20250806T031503Z, 3860, 0, 2, 3.25083, 16, 168, 485, 1.74474, 0.209369, 6, 3, 23, 4.02125, 81.4
20250806T031503Z, 3860, 0, 2, 3.25083, 16, 168, 510, 1.50365, 0.180438, 6, 3, 23, 4.02125, 81.4
20250806T031503Z, 3860, 0, 2, 3.25083, 16, 168, 535, 2.83822, 0.340586, 14, 3, 23, 4.02125, 81.4
20250806T031503Z, 3860, 0, 2, 3.25083, 16, 168, 560, 4.07166, 0.488599, 22, 2, 23, 4.02125, 81.4
20250806T031503Z, 3860, 0, 2, 3.25083, 16, 168, 585, 4.42323, 0.530787, 25, 2, 23, 4.02125, 81.4
20250806T031503Z, 3860, 0, 2, 3.25083, 16, 168, 610, 28.5498, 3.42597, 25, 1, 24, 4.02125, 81.4
20250806T031503Z, 3860, 0, 2, 3.25083, 16, 168, 645, 4.5038, 0.540456, 25, 2, 23, 4.02125, 81.4
20250806T031503Z, 3860, 0, 2, 3.25083, 16, 168, 680, 2.10966, 0.253159, 9, 1, 24, 4.02125, 81.4
20250806T031503Z, 3860, 0, 2, 3.25083, 16, 168, 705, 0.800683, 0.096082, 5, 2, 23, 4.02125, 81.4
20250806T031503Z, 3860, 0, 2, 3.25083, 16, 168, 730, 2.4275, 0.2913, 3, 1, 24, 4.02125, 81.4
20250806T031503Z, 3860, 0, 2, 3.25083, 16, 168, 760, 1.68631, 0.202357, 2, 1, 24, 4.02125, 81.4
20250806T031503Z, 3860, 0, 2, 3.25083, 16, 168, 810, 1.78585, 0.214301, 3, 1, 24, 4.02125, 81.4
20250806T031503Z, 3860, 0, 2, 3.25083, 16, 168, 860, 4.58246, 0.549896, 5, 1, 24, 4.02125, 81.4
20250806T031503Z, 3860, 0, 2, 3.25083, 16, 168, 900, 1.23905, 0.148686, 2, 2, 23, 4.02125, 81.4
20250806T031503Z, 3860, 0, 2, 3.25083, 16, 168, 940, 0.0, 0.0, 0, 2, 23, 4.02125, 81.4
