iso8601_utc, UID, batch, measurement_number, decimal_hour, gain, integration_time_ms, wavelength_nm, irradiance_uw.per.cm.sq_factory_cal, irradiance.uncertainty_uw.per.cm.sq_factory_cal, raw_counts, detector_chip_number, detector_chip_temperature_C, battery_voltage, battery_percentage
20250910T051247Z, 3860, 0, 0, 5.21305, 16, 168, 410, 550.014, 66.0017, 777, 3, 24, 3.8675, 62.2
20250910T051247Z, 3860, 0, 0, 5.21305, 16, 168, 435, 749.906, 89.9886, 835, 3, 24, 3.8675, 62.2
20250910T051247Z, 3860, 0, 0, 5.21305, 16, 168, 460, 1137.49, 136.499, 1332, 3, 24, 3.8675, 62.2
20250910T051247Z, 3860, 0, 0, 5.21305, 16, 168, 485, 1175.08, 141.01, 1377, 3, 24, 3.8675, 62.2
20250910T051247Z, 3860, 0, 0, 5.21305, 16, 168, 510, 917.225, 110.067, 1531, 3, 24, 3.8675, 62.2
20250910T051247Z, 3860, 0, 0, 5.21305, 16, 168, 535, 824.503, 98.9403, 1303, 3, 24, 3.8675, 62.2
20250910T051247Z, 3860, 0, 0, 5.21305, 16, 168, 560, 804.152, 96.4983, 1914, 2, 24, 3.8675, 62.2
20250910T051247Z, 3860, 0, 0, 5.21305, 16, 168, 585, 805.028, 96.6033, 2104, 2, 24, 3.8675, 62.2
20250910T051247Z, 3860, 0, 0, 5.21305, 16, 168, 610, 1781.5, 213.781, 1844, 1, 24, 3.8675, 62.2
20250910T051247Z, 3860, 0, 0, 5.21305, 16, 168, 645, 573.211, 68.7852, 1579, 2, 24, 3.8675, 62.2
20250910T051247Z, 3860, 0, 0, 5.21305, 16, 168, 680, 1775.28, 213.033, 1593, 1, 24, 3.8675, 62.2
20250910T051247Z, 3860, 0, 0, 5.21305, 16, 168, 705, 938.401, 112.608, 2504, 2, 24, 3.8675, 62.2
20250910T051247Z, 3860, 0, 0, 5.21305, 16, 168, 730, 1454.07, 174.489, 1880, 1, 24, 3.8675, 62.2
20250910T051247Z, 3860, 0, 0, 5.21305, 16, 168, 760, 1587.66, 190.519, 2110, 1, 24, 3.8675, 62.2
20250910T051247Z, 3860, 0, 0, 5.21305, 16, 168, 810, 3064.51, 367.741, 3432, 1, 24, 3.8675, 62.2
20250910T051247Z, 3860, 0, 0, 5.21305, 16, 168, 860, 2522.65, 302.718, 2528, 1, 24, 3.8675, 62.2
20250910T051247Z, 3860, 0, 0, 5.21305, 16, 168, 900, 548.28, 65.7936, 1000, 2, 24, 3.8675, 62.2
20250910T051247Z, 3860, 0, 0, 5.21305, 16, 168, 940, 386.303, 46.3563, 398, 2, 24, 3.8675, 62.2
20250910T051248Z, 3860, 0, 1, 5.21333, 16, 168, 410, 606.042, 72.725, 732, 3, 24, 3.86625, 62.2
20250910T051248Z, 3860, 0, 1, 5.21333, 16, 168, 435, 957.791, 114.935, 828, 3, 24, 3.86625, 62.2
20250910T051248Z, 3860, 0, 1, 5.21333, 16, 168, 460, 1397.8, 167.736, 1218, 3, 24, 3.86625, 62.2
20250910T051248Z, 3860, 0, 1, 5.21333, 16, 168, 485, 1073.89, 128.867, 1456, 3, 24, 3.86625, 62.2
20250910T051248Z, 3860, 0, 1, 5.21333, 16, 168, 510, 850.312, 102.037, 1317, 3, 24, 3.86625, 62.2
20250910T051248Z, 3860, 0, 1, 5.21333, 16, 168, 535, 820.955, 98.5146, 1235, 3, 24, 3.86625, 62.2
20250910T051248Z, 3860, 0, 1, 5.21333, 16, 168, 560, 785.83, 94.2996, 1781, 2, 24, 3.86625, 62.2
20250910T051248Z, 3860, 0, 1, 5.21333, 16, 168, 585, 773.082, 92.7698, 1880, 2, 24, 3.86625, 62.2
20250910T051248Z, 3860, 0, 1, 5.21333, 16, 168, 610, 1928.82, 231.459, 1689, 1, 24, 3.86625, 62.2
20250910T051248Z, 3860, 0, 1, 5.21333, 16, 168, 645, 595.32, 71.4384, 1494, 2, 24, 3.86625, 62.2
20250910T051248Z, 3860, 0, 1, 5.21333, 16, 168, 680, 1402.92, 168.351, 1356, 1, 24, 3.86625, 62.2
20250910T051248Z, 3860, 0, 1, 5.21333, 16, 168, 705, 711.007, 85.3208, 2076, 2, 24, 3.86625, 62.2
20250910T051248Z, 3860, 0, 1, 5.21333, 16, 168, 730, 1531.75, 183.81, 1870, 1, 24, 3.86625, 62.2
20250910T051248Z, 3860, 0, 1, 5.21333, 16, 168, 760, 1685.46, 202.256, 2009, 1, 24, 3.86625, 62.2
20250910T051248Z, 3860, 0, 1, 5.21333, 16, 168, 810, 2661.8, 319.416, 3056, 1, 24, 3.86625, 62.2
20250910T051248Z, 3860, 0, 1, 5.21333, 16, 168, 860, 2288.94, 274.673, 2268, 1, 24, 3.86625, 62.2
20250910T051248Z, 3860, 0, 1, 5.21333, 16, 168, 900, 581.115, 69.7338, 914, 2, 24, 3.86625, 62.2
20250910T051248Z, 3860, 0, 1, 5.21333, 16, 168, 940, 466.82, 56.0184, 431, 2, 24, 3.86625, 62.2
20250910T051249Z, 3860, 0, 2, 5.21361, 16, 168, 410, 724.409, 86.9291, 833, 3, 24, 3.865, 62.2
20250910T051249Z, 3860, 0, 2, 5.21361, 16, 168, 435, 1106.82, 132.819, 1095, 3, 24, 3.865, 62.2
20250910T051249Z, 3860, 0, 2, 5.21361, 16, 168, 460, 1587.54, 190.505, 1577, 3, 24, 3.865, 62.2
20250910T051249Z, 3860, 0, 2, 5.21361, 16, 168, 485, 820.029, 98.4035, 1014, 3, 24, 3.865, 62.2
20250910T051249Z, 3860, 0, 2, 5.21361, 16, 168, 510, 880.385, 105.646, 1128, 3, 24, 3.865, 62.2
20250910T051249Z, 3860, 0, 2, 5.21361, 16, 168, 535, 1082.78, 129.934, 1316, 3, 24, 3.865, 62.2
20250910T051249Z, 3860, 0, 2, 5.21361, 16, 168, 560, 611.766, 73.412, 1335, 2, 24, 3.865, 62.2
20250910T051249Z, 3860, 0, 2, 5.21361, 16, 168, 585, 882.68, 105.922, 1589, 2, 24, 3.865, 62.2
20250910T051249Z, 3860, 0, 2, 5.21361, 16, 168, 610, 1317.86, 158.143, 1246, 1, 25, 3.865, 62.2
20250910T051249Z, 3860, 0, 2, 5.21361, 16, 168, 645, 984.285, 118.114, 1936, 2, 24, 3.865, 62.2
20250910T051249Z, 3860, 0, 2, 5.21361, 16, 168, 680, 1845.95, 221.514, 1750, 1, 25, 3.865, 62.2
20250910T051249Z, 3860, 0, 2, 5.21361, 16, 168, 705, 945.607, 113.473, 2022, 2, 24, 3.865, 62.2
